source,slug,normalized_key,proposed_domain,domain_reason,multifile,relpath,winner,tier
cskills,google-maps-platform,google-maps-platform,maps-location,rule:csk-readme,no,google-maps-platform,WIN,半通用
cskills,huawei-map-kit,huawei-map-kit,maps-location,rule:csk-readme,no,huawei-map-kit,WIN,半通用
cskills,leaflet-openlayers,leaflet-openlayers,maps-location,rule:csk-readme,no,leaflet-openlayers,WIN,半通用
cskills,map-gis-core,map-gis-core,maps-location,rule:csk-readme,no,map-gis-core,WIN,半通用
cskills,mapbox-maplibre,mapbox-maplibre,maps-location,rule:csk-readme,no,mapbox-maplibre,WIN,半通用
cskills,openstreetmap-routing,openstreetmap-routing,maps-location,rule:csk-readme,no,openstreetmap-routing,WIN,半通用
cskills,tencent-map,tencent-map,maps-location,rule:csk-readme,no,tencent-map,WIN,半通用
cskills,tianditu-map,tianditu-map,maps-location,rule:csk-readme,no,tianditu-map,WIN,半通用
community,design-system,design-system,markdown-publishing,rule:community-path,yes,markdown-publishing/community/design-system,WIN,通用
community,md-document,md-document,markdown-publishing,rule:community-path,yes,markdown-publishing/community/md-document,WIN,通用
community,md-review,md-review,markdown-publishing,rule:community-path,yes,markdown-publishing/community/md-review,WIN,通用
community,md-slides,md-slides,markdown-publishing,rule:community-path,yes,markdown-publishing/community/md-slides,WIN,通用
community,analytics-tracking,analytics-tracking,marketing-analytics,rule:community-path,yes,marketing-analytics/community/analytics-tracking,WIN,通用
community,campaign-analytics,campaign-analytics,marketing-analytics,rule:community-path,yes,marketing-analytics/community/campaign-analytics,WIN,通用
community,fda-qsr-audit-prep,fda-qsr-audit-prep,medical-regulatory,rule:community-path,yes,medical-regulatory/community/fda-qsr-audit-prep,WIN,通用
community,iso13485-audit-prep,iso13485-audit-prep,medical-regulatory,rule:community-path,yes,medical-regulatory/community/iso13485-audit-prep,WIN,通用
community,mdr-745-specialist,mdr-745-specialist,medical-regulatory,rule:community-path,yes,medical-regulatory/community/mdr-745-specialist,WIN,通用
codex,apple-development,anna-apple,mobile-crossplatform,kw:apple,no,anna-apple-development,WIN,通用
codex,building-native-ui,building-native-ui,mobile-crossplatform,rule:openai-plugins,yes,mobile-crossplatform/codex/building-native-ui,WIN,半通用
codex,codex-expo-run-actions,codex-expo-run-actions,mobile-crossplatform,rule:openai-plugins,yes,mobile-crossplatform/codex/codex-expo-run-actions,WIN,半通用
codex,expo-api-routes,expo-api-routes,mobile-crossplatform,rule:openai-plugins,yes,mobile-crossplatform/codex/expo-api-routes,WIN,半通用
codex,expo-cicd-workflows,expo-cicd-workflows,mobile-crossplatform,rule:openai-plugins,yes,mobile-crossplatform/codex/expo-cicd-workflows,WIN,半通用
